,Waktu,kamar,kamar2,dapur,toilet,teras,ruangtamu
0,0,2,1,1,2,2,1
1,60,2,1,1,2,2,1
2,120,2,1,1,2,2,1
3,180,2,1,1,2,2,1
4,240,2,1,1,2,2,1
5,300,2,1,1,2,2,1
6,302,2,2,1,2,2,1
7,303,2,2,2,2,2,1
8,360,2,2,2,2,2,1
9,361,2,2,2,2,1,1
10,420,2,2,2,2,1,1
11,452,1,2,2,2,1,1
12,456,1,2,1,2,1,1
13,480,1,2,1,2,1,1
14,482,1,1,1,2,1,1
15,485,1,1,1,1,1,1
16,540,1,1,1,1,1,1
17,600,1,1,1,1,1,1
18,660,1,1,1,1,1,1
19,720,1,1,1,1,1,1
20,735,1,1,2,1,1,1
21,780,1,1,2,1,1,1
22,810,1,1,1,1,1,1
23,840,1,1,1,1,1,1
24,900,1,1,1,1,1,1
25,960,1,1,1,1,1,1
26,991,1,2,1,1,1,1
27,993,1,2,1,1,1,2
28,1020,1,2,1,1,1,2
29,1022,1,2,2,1,1,2
30,1022,1,2,2,2,1,2
31,1061,2,2,2,2,1,2
32,1064,2,2,2,2,2,2
33,1080,2,2,2,2,2,2
34,1140,2,2,2,2,2,2
35,1200,2,2,2,2,2,2
36,1260,2,2,2,2,2,2
37,1320,2,2,2,2,2,2
38,1328,2,1,2,2,2,2
39,1329,2,1,1,2,2,2
40,1330,2,1,1,2,2,1
41,1380,2,1,1,2,2,1
42,0,2,1,1,2,2,1
43,60,2,1,1,2,2,1
44,120,2,1,1,2,2,1
45,180,2,1,1,2,2,1
46,240,2,1,1,2,2,1
47,300,2,1,1,2,2,1
48,302,2,2,1,2,2,1
49,303,2,2,2,2,2,1
50,360,2,2,2,2,2,1
51,365,2,2,2,2,1,1
52,420,2,2,2,2,1,1
53,451,1,2,2,2,1,1
54,453,1,2,1,2,1,1
55,454,1,2,1,1,1,1
56,468,1,1,1,1,1,1
57,480,1,1,1,1,1,1
58,553,1,1,1,1,1,1
59,600,1,1,1,1,1,1
60,660,1,1,1,1,1,1
61,720,1,1,1,1,1,1
62,739,1,1,2,1,1,1
63,780,1,1,2,1,1,1
64,813,1,1,1,1,1,1
65,840,1,1,1,1,1,1
66,900,1,1,1,1,1,1
67,960,1,1,1,1,1,1
68,992,1,2,1,1,1,1
69,993,1,2,1,1,1,2
70,1020,1,2,1,1,1,2
71,1023,1,2,2,1,1,2
72,1024,1,2,2,2,1,2
73,1061,2,2,2,2,1,2
74,1062,2,2,2,2,2,2
75,1080,2,2,2,2,2,2
76,1140,2,2,2,2,2,2
77,1200,2,2,2,2,2,2
78,1260,2,2,2,2,2,2
79,1320,2,2,2,2,2,2
80,1341,2,2,1,2,2,2
81,1341,2,1,1,2,2,2
82,1343,2,1,1,2,2,1
83,1380,2,1,1,2,2,1
