,Waktu,dapur,kamar,kamar2,ruangtamu,teras,toilet
0,0,1,2,1,1,2,2
1,60,1,2,1,1,2,2
2,120,1,2,1,1,2,2
3,180,1,2,1,1,2,2
4,240,1,2,1,1,2,2
5,300,1,2,1,1,2,2
6,300,1,2,2,1,2,2
7,301,2,2,2,1,2,2
8,360,2,2,2,1,2,2
9,364,2,2,2,1,1,2
10,420,2,2,2,1,1,2
11,451,2,1,2,1,1,2
12,452,1,1,2,1,1,2
13,479,1,1,1,1,1,2
14,480,1,1,1,1,1,1
15,540,1,1,1,1,1,1
16,600,1,1,1,1,1,1
17,660,1,1,1,1,1,1
18,720,1,1,1,1,1,1
19,735,2,1,1,1,1,1
20,780,2,1,1,1,1,1
21,810,1,1,1,1,1,1
22,840,1,1,1,1,1,1
23,900,1,1,1,1,1,1
24,960,1,1,1,1,1,1
25,995,1,1,1,2,1,1
26,996,1,1,2,2,1,1
27,1020,1,1,2,2,1,1
28,1023,2,1,2,2,1,1
29,1024,2,1,2,2,1,2
30,1066,2,2,2,2,1,2
31,1067,2,2,2,2,2,2
32,1080,2,2,2,2,2,2
33,1140,2,2,2,2,2,2
34,1200,2,2,2,2,2,2
35,1260,2,2,2,2,2,2
36,1320,2,2,2,2,2,2
37,1324,2,2,1,2,2,2
38,1325,2,2,1,1,2,2
39,1327,1,2,1,1,2,2
40,1380,1,2,1,1,2,2
41,0,1,2,1,1,2,2
42,60,1,2,1,1,2,2
43,120,1,2,1,1,2,2
44,180,1,2,1,1,2,2
45,240,1,2,1,1,2,2
46,300,1,2,1,1,2,2
47,302,1,2,2,1,2,2
48,303,2,2,2,1,2,2
49,360,2,2,2,1,2,2
50,361,2,2,2,1,1,2
51,420,2,2,2,1,1,2
52,452,2,1,2,1,1,2
53,456,1,1,2,1,1,2
54,480,1,1,2,1,1,2
55,482,1,1,1,1,1,2
56,485,1,1,1,1,1,1
57,540,1,1,1,1,1,1
58,600,1,1,1,1,1,1
59,660,1,1,1,1,1,1
60,720,1,1,1,1,1,1
61,735,2,1,1,1,1,1
62,780,2,1,1,1,1,1
63,810,1,1,1,1,1,1
64,840,1,1,1,1,1,1
65,900,1,1,1,1,1,1
66,960,1,1,1,1,1,1
67,991,1,1,2,1,1,1
68,993,1,1,2,2,1,1
69,1020,1,1,2,2,1,1
70,1022,2,1,2,2,1,1
71,1022,2,1,2,2,1,2
72,1061,2,2,2,2,1,2
73,1064,2,2,2,2,2,2
74,1080,2,2,2,2,2,2
75,1140,2,2,2,2,2,2
76,1200,2,2,2,2,2,2
77,1260,2,2,2,2,2,2
78,1320,2,2,2,2,2,2
79,1328,2,2,1,2,2,2
80,1329,1,2,1,2,2,2
81,1330,1,2,1,1,2,2
82,1380,1,2,1,1,2,2
83,0,1,2,1,1,2,2
84,60,1,2,1,1,2,2
85,120,1,2,1,1,2,2
86,180,1,2,1,1,2,2
87,240,1,2,1,1,2,2
88,300,1,2,1,1,2,2
89,302,1,2,2,1,2,2
90,303,2,2,2,1,2,2
91,360,2,2,2,1,2,2
92,365,2,2,2,1,1,2
93,420,2,2,2,1,1,2
94,451,2,1,2,1,1,2
95,453,1,1,2,1,1,2
96,454,1,1,2,1,1,1
97,468,1,1,1,1,1,1
98,480,1,1,1,1,1,1
99,553,1,1,1,1,1,1
100,600,1,1,1,1,1,1
101,660,1,1,1,1,1,1
102,720,1,1,1,1,1,1
103,739,2,1,1,1,1,1
104,780,2,1,1,1,1,1
105,813,1,1,1,1,1,1
106,840,1,1,1,1,1,1
107,900,1,1,1,1,1,1
108,960,1,1,1,1,1,1
109,992,1,1,2,1,1,1
110,993,1,1,2,2,1,1
111,1020,1,1,2,2,1,1
112,1023,2,1,2,2,1,1
113,1024,2,1,2,2,1,2
114,1061,2,2,2,2,1,2
115,1062,2,2,2,2,2,2
116,1080,2,2,2,2,2,2
117,1140,2,2,2,2,2,2
118,1200,2,2,2,2,2,2
119,1260,2,2,2,2,2,2
120,1320,2,2,2,2,2,2
121,1341,1,2,2,2,2,2
122,1341,1,2,1,2,2,2
123,1343,1,2,1,1,2,2
124,1380,1,2,1,1,2,2
125,0,1,2,1,1,2,2
126,60,1,2,1,1,2,2
127,120,1,2,1,1,2,2
128,180,1,2,1,1,2,2
129,240,1,2,1,1,2,2
130,300,1,2,1,1,2,2
131,302,1,2,2,1,2,2
132,303,2,2,2,1,2,2
133,360,2,2,2,1,2,2
134,363,2,2,2,1,1,2
135,420,2,2,2,1,1,2
136,451,2,1,2,1,1,2
137,452,1,1,2,1,1,2
138,480,1,1,2,1,1,2
139,483,1,1,1,1,1,2
140,483,1,1,1,1,1,1
141,540,1,1,1,1,1,1
142,600,1,1,1,1,1,1
143,660,1,1,1,1,1,1
144,720,1,1,1,1,1,1
145,736,2,1,1,1,1,1
146,780,2,1,1,1,1,1
147,806,1,1,1,1,1,1
148,840,1,1,1,1,1,1
149,900,1,1,1,1,1,1
150,960,1,1,1,1,1,1
151,990,1,1,2,1,1,1
152,991,1,1,2,2,1,1
153,1020,1,1,2,2,1,1
154,1021,1,1,2,2,1,2
155,1022,2,1,2,2,1,2
156,1060,2,2,2,2,1,2
157,1061,2,2,2,2,2,2
158,1080,2,2,2,2,2,2
159,1140,2,2,2,2,2,2
160,1200,2,2,2,2,2,2
161,1260,2,2,2,2,2,2
162,1320,2,2,2,2,1,2
163,1322,2,2,1,2,2,2
164,1322,2,2,1,1,2,2
165,1323,1,2,1,1,2,2
166,1380,1,2,1,1,2,2
167,60,1,2,1,1,2,2
168,120,1,2,1,1,2,2
169,180,1,2,1,1,2,2
170,240,1,2,1,1,2,2
171,300,1,2,1,1,2,2
172,302,1,2,2,1,2,2
173,303,2,2,2,1,2,2
174,360,2,2,2,1,2,2
175,361,2,2,2,1,1,2
176,420,2,2,2,1,1,2
177,450,2,1,2,1,1,2
178,451,1,1,2,1,1,2
179,480,1,1,2,1,1,2
180,481,1,1,1,1,1,2
181,482,1,1,1,1,1,1
182,540,1,1,1,1,1,1
183,600,1,1,1,1,1,1
184,660,1,1,1,1,1,1
185,720,1,1,1,1,1,1
186,733,2,1,1,1,1,1
187,780,2,1,1,1,1,1
188,810,1,1,1,1,1,1
189,840,1,1,1,1,1,1
190,900,1,1,1,1,1,1
191,960,1,1,1,1,1,1
192,990,1,1,2,1,1,1
193,991,1,1,2,2,1,1
194,1020,2,1,2,2,1,1
195,1021,2,1,2,2,1,2
196,1060,2,2,2,2,1,2
197,1061,2,2,2,2,2,2
198,1080,2,2,2,2,2,2
199,1140,2,2,2,2,2,2
200,1200,2,2,2,2,2,2
201,1260,2,2,2,2,2,2
202,1320,2,2,2,2,2,2
203,1321,2,2,1,2,2,2
204,1322,2,2,1,1,2,2
205,1323,1,2,1,1,2,2
206,1380,1,2,1,1,2,2
207,0,1,2,1,1,2,2
208,60,1,2,1,1,2,2
209,120,1,2,1,1,2,2
210,180,1,2,1,1,2,2
211,240,1,2,1,1,2,2
212,300,1,2,1,1,2,2
213,302,1,2,2,1,2,2
214,303,2,2,2,1,2,2
215,360,2,2,2,1,2,2
216,361,2,2,2,1,1,2
217,420,2,2,2,1,1,2
218,451,2,1,2,1,1,2
219,452,1,1,2,1,1,2
220,480,1,1,2,1,1,2
221,484,1,1,1,1,1,2
222,485,1,1,1,1,1,1
223,540,1,1,1,1,1,1
224,600,1,1,1,1,1,1
225,660,1,1,1,1,1,1
226,720,1,1,1,1,1,1
227,735,2,1,1,1,1,1
228,780,2,1,1,1,1,1
229,810,1,1,1,1,1,1
230,840,1,1,1,1,1,1
231,900,1,1,1,1,1,1
232,960,1,1,1,1,1,1
233,995,1,1,2,1,1,1
234,997,1,1,2,2,1,1
235,1020,1,1,2,2,1,1
236,1021,1,1,2,2,1,2
237,1022,2,1,2,2,1,2
238,1060,2,2,2,2,1,2
239,1061,2,2,2,2,2,2
240,1080,2,2,2,2,2,2
241,1140,2,2,2,2,2,2
242,1200,2,2,2,2,2,2
243,1260,1,2,2,2,2,2
244,1320,2,2,2,2,2,2
245,1322,2,2,1,2,2,2
246,1323,2,2,1,1,2,2
247,1324,1,2,1,1,2,2
248,1380,1,2,1,1,2,2
249,0,1,2,1,1,2,2
250,60,1,2,1,1,2,2
251,120,1,2,1,1,2,2
252,180,1,2,1,1,2,2
253,240,1,2,1,1,2,2
254,300,1,2,1,1,2,2
255,302,1,2,2,1,2,2
256,303,2,2,2,1,2,2
257,360,2,2,2,1,2,2
258,361,2,2,2,1,1,2
259,420,2,2,2,1,1,2
260,452,2,1,2,1,1,2
261,453,1,1,2,1,1,2
262,480,1,1,2,1,1,2
263,481,1,1,1,1,1,2
264,482,1,1,1,1,1,1
